step,id,type,x,y,z
30,5,pursuer,116.025,53.086,115.202
30,6,pursuer,171.465,160.677,108.959
30,7,pursuer,115.562,157.342,98.2451
30,8,pursuer,200.68,153.458,116.671
30,9,pursuer,173.135,181.152,109.945
31,0,escaper,91.8419,113.749,200.015
31,1,escaper,139.175,164.665,199.989
31,2,escaper,30.311,58.2822,199.994
31,0,pursuer,141.186,103.428,118.748
31,1,pursuer,140.144,103.155,118.353
31,2,pursuer,155.261,102.73,120.382
31,3,pursuer,60.7853,47.0174,109.667
31,4,pursuer,194.509,153.777,119.824
31,5,pursuer,114.365,53.6273,118.801
31,6,pursuer,172.032,161.238,112.879
31,7,pursuer,116.69,156.116,101.882
31,8,pursuer,199.826,154.359,120.474
31,9,pursuer,173.6,180.813,113.903
32,0,escaper,91.9405,113.766,200.015
32,1,escaper,139.274,164.682,199.988
32,2,escaper,30.409,58.3022,199.994
32,0,pursuer,140.804,104.266,122.641
32,1,pursuer,139.821,104.005,122.249
32,2,pursuer,154.242,103.595,124.152
32,3,pursuer,61.4532,47.8967,113.512
32,4,pursuer,193.822,154.633,123.67
32,5,pursuer,112.646,54.2315,122.362
32,6,pursuer,172.518,161.725,116.819
32,7,pursuer,117.74,154.887,105.54
32,8,pursuer,198.894,155.186,124.274
32,9,pursuer,173.988,180.4,117.863
33,0,escaper,92.039,113.784,200.016
33,1,escaper,139.372,164.701,199.988
33,2,escaper,30.5075,58.3193,199.994
33,0,pursuer,140.33,105.085,126.527
33,1,pursuer,139.405,104.835,126.139
33,2,pursuer,153.143,104.44,127.904
33,3,pursuer,62.0396,48.7045,117.385
33,4,pursuer,193.046,155.533,127.489
33,5,pursuer,110.871,54.7595,125.907
33,6,pursuer,172.899,162.261,120.765
33,7,pursuer,118.714,153.634,109.212
33,8,pursuer,197.878,156.056,128.044
33,9,pursuer,174.267,180.031,121.836
34,0,escaper,92.1377,113.8,200.016
34,1,escaper,139.47,164.721,199.987
34,2,escaper,30.606,58.3369,199.994
34,0,pursuer,139.764,105.869,130.408
34,1,pursuer,138.898,105.63,130.027
34,2,pursuer,151.964,105.248,131.64
34,3,pursuer,62.5312,49.5089,121.273
34,4,pursuer,192.18,156.409,131.295
34,5,pursuer,109.036,55.2808,129.423
34,6,pursuer,173.183,162.776,124.721
34,7,pursuer,119.613,152.349,112.892
34,8,pursuer,196.777,156.901,131.796
34,9,pursuer,174.449,179.639,125.813
35,0,escaper,92.236,113.818,200.017
35,1,escaper,139.568,164.739,199.986
35,2,escaper,30.7043,58.355,199.994
35,0,pursuer,139.099,106.671,134.27
35,1,pursuer,138.29,106.444,133.895
35,2,pursuer,150.701,106.074,135.345
35,3,pursuer,62.9225,50.3088,125.172
35,4,pursuer,191.225,157.234,135.091
35,5,pursuer,107.139,55.7944,132.907
35,6,pursuer,173.369,163.242,128.69
35,7,pursuer,120.418,151.075,116.597
35,8,pursuer,195.593,157.694,135.533
35,9,pursuer,174.538,179.199,129.787
36,0,escaper,92.3343,113.836,200.017
36,1,escaper,139.667,164.757,199.985
36,2,escaper,30.8026,58.3736,199.995
36,0,pursuer,138.335,107.461,138.116
36,1,pursuer,137.582,107.246,137.75
36,2,pursuer,149.354,106.886,139.023
36,3,pursuer,63.2112,51.1019,129.082
36,4,pursuer,190.177,158.031,138.868
36,5,pursuer,105.182,56.2991,136.359
36,6,pursuer,173.449,163.684,132.665
36,7,pursuer,121.134,149.791,120.317
36,8,pursuer,194.321,158.461,139.247
36,9,pursuer,174.522,178.735,133.76
37,0,escaper,92.4324,113.856,200.018
37,1,escaper,139.765,164.776,199.984
37,2,escaper,30.9007,58.3927,199.995
37,0,pursuer,137.468,108.238,141.943
37,1,pursuer,136.771,108.035,141.587
37,2,pursuer,147.922,107.685,142.671
37,3,pursuer,63.3921,51.8865,133
37,4,pursuer,189.032,158.829,142.616
37,5,pursuer,103.163,56.7938,139.777
37,6,pursuer,173.413,164.131,136.639
37,7,pursuer,121.757,148.495,124.05
37,8,pursuer,192.959,159.228,142.929
37,9,pursuer,174.391,178.276,137.732
38,0,escaper,92.5305,113.875,200.018
38,1,escaper,139.863,164.795,199.983
38,2,escaper,30.9988,58.4123,199.995
38,0,pursuer,136.494,108.999,145.747
38,1,pursuer,135.852,108.807,145.402
38,2,pursuer,146.402,108.466,146.287
38,3,pursuer,63.4582,52.6609,136.924
38,4,pursuer,187.787,159.611,146.337
38,5,pursuer,101.079,57.2771,143.157
38,6,pursuer,173.259,164.565,140.613
38,7,pursuer,122.282,147.187,127.793
38,8,pursuer,191.505,159.979,146.579
38,9,pursuer,174.141,177.806,141.696
39,0,escaper,92.6284,113.895,200.019
39,1,escaper,139.961,164.816,199.982
39,2,escaper,31.0972,58.4302,199.995
39,0,pursuer,135.411,109.741,149.526
39,1,pursuer,134.822,109.562,149.193
39,2,pursuer,144.791,109.229,149.868
39,3,pursuer,63.4085,53.3774,140.859
39,4,pursuer,186.438,160.374,150.024
39,5,pursuer,98.9299,57.7018,146.503
39,6,pursuer,172.98,164.985,144.581
39,7,pursuer,122.706,145.867,131.545
39,8,pursuer,189.954,160.711,150.193
39,9,pursuer,173.769,177.322,145.649
40,0,escaper,92.7262,113.916,200.019
40,1,escaper,140.058,164.836,199.98
40,2,escaper,31.195,58.4508,199.996
